,City,Country,Latitude,Longitude,Temp (F),Humidity (%),Clouds (%),Wind Speed (mph)
0,albany,au,42.6525793,-73.7562317,42.66,85.0,2.0,3.0
1,victoria,sc,36.9948743,-78.22722,77.86,77.0,74.0,3.0
2,masuguru,tz,-11.3490247,38.4299972,95.56,25.0,8.0,5.7
3,hobart,au,41.5322592,-87.2550353,41.61,74.0,40.0,1.99
4,lebu,cl,-37.6080479,-73.6514907,57.15,72.0,100.0,15.9
5,belushya guba,ru,71.53903389999999,52.3381368,,,,
6,ginir,et,7.1386715,40.7115639,69.04,37.0,85.0,7.92
7,colgong,in,25.2627223,87.2366237,73.58,54.0,0.0,6.44
8,petropavlovka,ru,50.6083262,105.3109495,31.17,55.0,1.0,0.92
9,cidreira,br,-30.1768565,-50.2089209,71.2,75.0,100.0,16.82
10,dikson,ru,73.507735,80.53103010000001,8.87,84.0,100.0,12.93
11,abu zabad,sd,12.3576715,29.2378899,96.57,13.0,6.0,10.78
12,traverse city,us,44.7630567,-85.62063169999999,50.41,92.0,90.0,11.5
13,hervey bay,au,-25.2881539,152.7676633,77.02,84.0,100.0,14.34
14,souillac,mu,44.893626,1.478613,75.36,72.0,88.0,11.34
15,khuzdar,pk,27.8164837,66.6057378,71.85,20.0,4.0,9.4
16,butaritari,ki,3.1166667,172.8,82.72,70.0,1.0,14.97
17,kidal,ml,18.4520713,1.4096535,99.95,11.0,50.0,2.55
18,atuona,pf,-9.8028605,-139.0398069,76.91,73.0,100.0,12.12
19,rikitea,pf,-23.1223034,-134.9691543,75.09,74.0,100.0,17.72
20,kaitangata,nz,-46.2858467,169.8460662,51.55,95.0,73.0,5.44
21,jamestown,sh,37.2116383,-76.7752102,50.47,98.0,90.0,5.99
22,hithadhoo,mv,-0.6060574,73.0892245,83.41,74.0,34.0,14.07
23,barrow,us,34.0142667,-83.6986568,-5.78,84.0,1.0,9.22
24,emerald,au,37.088557,-95.58067969999999,76.98,33.0,92.0,3.49
25,qaanaaq,gl,77.4670434,-69.2284827,12.92,74.0,88.0,7.9
26,puerto ayora,ec,-0.7432918,-90.3156893,73.36,88.0,99.0,10.89
27,taolanaro,mg,-25.0225309,46.9853688,,,,
28,mataura,pf,-46.1939524,168.8654783,51.53,93.0,74.0,3.2
29,buala,sb,-8.1662459,159.6189829,80.91,83.0,66.0,9.13
30,fulacunda,gw,11.7755299,-15.1719504,,,,
31,parana,br,-25.2520888,-52.0215415,82.76,45.0,37.0,8.08
32,bethel,us,38.0736885,-97.3433008,45.34,84.0,75.0,1.01
33,belaya gora,ru,68.549671,146.232876,2.86,97.0,100.0,2.95
34,kapaa,us,22.0881391,-159.3379818,69.57,97.0,40.0,5.75
35,ushtobe,kz,45.2415442,77.97264770000001,51.64,50.0,100.0,8.66
36,pisco,pe,38.9039822,-77.0426401,64.45,77.0,48.0,5.75
37,alofi,nu,-19.0553711,-169.9178709,76.66,62.0,100.0,20.07
38,broome,au,42.1791865,-75.8533954,45.39,70.0,40.0,3.0
39,illoqqortoormiut,gl,70.48556909999999,-21.9628757,,,,
